record_type,metric,dimension,subject_id,location_coordinate,comparison_count,negative_fraction,positive_fraction,equivalent_fraction,majority_sign_fraction,cross_subject_sign_agreement_mean,cross_subject_sign_agreement_ge_0_95_fraction,cross_subject_unanimous_fraction
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_001,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_002,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_003,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_005,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_006,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_007,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_009,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_010,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_011,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_013,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_014,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_015,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_017,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_018,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_019,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_021,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_022,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_023,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_025,,16100,1.0,0.0,0.0,1.0,,,
SUBJECT_GLOBAL,J,hip,MYOLEG_VP_026,,16100,1.0,0.0,0.0,1.0,,,
