case_id,subject_id,scenario_name,iteration,current_validation_trajectory_id,candidate_validation_trajectory_id,delta_J_pred,delta_J_actual,e_delta_J,current_item_prediction_error_abs,candidate_item_prediction_error_abs,calibration_data_role,adaptation_executed_outcome_used_directly,heldout_final_test_used_x,bound_status,policy_id,decision_uncertainty_version,validation_pair_count,maximum_observed_validation_e_delta_J,p95_observed_validation_e_delta_J,p99_observed_validation_e_delta_J,guard_uncertainty_bound,guard_uncertainty_bound_type,guard_uncertainty_bound_status,current_vs_candidate_item_error_spearman,correlation_sample_sufficient,heldout_final_test_used_y,formal_threshold_created
hip_stiff__matched_linear,hip_stiff,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,1,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,2,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,4,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,5,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,6,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.634795197836,0.634795197836,2.53130849615e-14,0,2.53130849615e-14,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,2.53130849615e-14,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,1,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,2,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,4,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,5,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,6,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.423108393075,0.423108393075,0,0,0,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,0,0,0,0,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,1,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,2,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,3,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,4,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,5,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,6,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.871486642629,0.871486642629,1.7763568394e-15,0,1.7763568394e-15,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_DECISION_UNCERTAINTY_V1,1,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,1.7763568394e-15,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.601476266174,0.779209063597,0.177732797422,0,0.177732797422,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0.177732797422,0.177732797422,0.177732797422,0.177732797422,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.601505557247,0.779209063597,0.17770350635,0,0.17770350635,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0.17770350635,0.17770350635,0.17770350635,0.17770350635,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.601721822446,0.779209063597,0.177487241151,0,0.177487241151,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0.177487241151,0.177487241151,0.177487241151,0.177487241151,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.602039156361,0.779209063597,0.177169907236,0,0.177169907236,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_DECISION_UNCERTAINTY_V1,1,0.177169907236,0.177169907236,0.177169907236,0.177169907236,MAX_OBSERVED_VALIDATION_PAIRWISE_DELTA_J_ERROR,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,,False,False,False
