case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00290246545596,0.00245959703942
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00245959703942,0.00213316624957
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00213316624957,0.00188248843881
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00188248843881,0.00168390606921
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,6,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00168390606921,0.00152269785884
heavy_leg__matched_linear,heavy_leg,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00353884789417,0.00353884789417
heavy_leg__matched_linear,heavy_leg,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,0,True,True,0,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00353884789417,0.00353884789417
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00353884789417,0.00353884789417
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00353884789417,0.00290246545613
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00290246545613,0.00246472233254
