case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,4,EXPLOIT,True,False,-0.00578383630714,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,5,EXPLOIT,True,False,-0.00570581642967,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,6,EXPLOIT,True,False,-0.00562809725397,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,7,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,8,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,9,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,10,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,11,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,12,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,13,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,14,STOP,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,1,EXPLORE,True,True,-0.00594152473249,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,2,EXPLOIT,True,False,-0.00594152473249,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,3,EXPLOIT,True,False,-0.00586212927914,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,4,EXPLOIT,True,False,-0.00578383630714,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,5,EXPLOIT,True,False,-0.00570581642967,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,6,EXPLOIT,True,False,-0.00562809725397,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,7,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,8,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,9,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,10,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,11,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,12,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,13,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,14,STOP,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,1,EXPLORE,True,True,-0.00594152473249,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,2,EXPLOIT,True,False,-0.00594152473249,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,3,EXPLOIT,True,False,-0.00586212927914,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,4,EXPLOIT,True,False,-0.00578383630714,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,5,EXPLOIT,True,False,-0.00570581642967,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,6,EXPLOIT,True,False,-0.00562809725397,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,7,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,8,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,9,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,10,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,11,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,12,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,13,EXPLORE,False,False,-6.01922331002e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,14,STOP,False,False,-6.01922331002e-05,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,1,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,2,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,3,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,4,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,5,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,6,EXPLORE,False,False,-0.00446718793104,True,False
