case_id,subject_id,scenario_name,iteration,current_alpha_hip,current_alpha_knee,current_alpha_phase,candidate_trajectory_id,candidate_alpha_hip,candidate_alpha_knee,candidate_alpha_phase,delta_alpha_hip,delta_alpha_knee,delta_alpha_phase,changed_coordinate_count,changed_coordinate,signed_coordinate_direction,absolute_coordinate_step,formal_grid_step_multiplier,formal_local_candidate_relationship_valid,pair_relationship,physical_distance_used,delta_J_pred,delta_J_actual_posthoc,e_delta_J,model_supported,current_G0_would_exploit,true_improvement_posthoc,evidence_role,designated_validation,used_to_modify_current_policy,truth_used_as_policy_input,guard_id,uncertainty_bound,bound_role,would_exploit,false_improvement_posthoc,missed_improvement_posthoc,counterfactual_only,policy_modified,trajectory_executed,truth_used_to_construct_policy
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,1,0,0,0,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+1.000_k+0.000_p+0.00000,1,0,0,1,0,0,1,hip,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+1.000_k+0.000_p+0.00000,1,0,0,1,0,0,1,hip,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+1.000_k+0.000_p+0.00000,1,0,0,1,0,0,1,hip,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+1.000_k+0.000_p+0.00000,1,0,0,1,0,0,1,hip,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,-1,0,0,1,hip,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,-1,0,0,1,hip,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,-1,0,0,1,hip,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,-1,0,0,1,hip,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+1.000_p+0.00000,0,1,0,0,1,0,1,knee,POSITIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,True,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,True,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,-1,0,1,knee,NEGATIVE,1,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,True,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G1_LOCAL_MAX_CANDIDATE,0.00170839435891,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P95_CANDIDATE,4.450408659e-05,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,0,0,0.01,1,phase,POSITIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G2_LOCAL_P99_CANDIDATE,0.00122023734259,LEAVE_ONE_CASE_OUT_RETROSPECTIVE_LOCAL_BOUND,False,False,False,True,False,False,False
baseline__matched_linear,baseline,matched_linear,2,0,0,0,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,0.01,4,True,SIGNED_COORDINATE_TRUST_REGION_MOVE,False,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,True,False,False,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False,False,False,G0_CURRENT_GLOBAL_MAX,,CURRENT_FROZEN_PER_CASE_ITERATION_BOUND,False,False,False,True,False,False,False
