case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,5,EXPLOIT,True,False,-0.00704725297411,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,6,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,7,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,8,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,9,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,10,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,11,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,12,EXPLORE,False,False,-7.27894291208e-05,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,13,STOP,False,False,-7.27894291208e-05,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,1,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,2,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,3,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,4,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,5,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,6,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,7,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,8,EXPLORE,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,9,STOP,False,False,-0.00111915879411,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,1,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,2,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,3,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,4,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,5,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,6,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,7,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,8,EXPLORE,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,9,STOP,False,False,-0.00223702315062,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_3,1,EXPLORE,False,False,-0.00335303259049,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_3,2,EXPLORE,False,False,-0.00335303259049,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_3,3,EXPLORE,False,False,-0.00335303259049,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_3,4,EXPLORE,False,False,-0.00335303259049,True,False
