case_id,subject_id,scenario_name,iteration,trajectory_id,information_gain,new_supported_points,SUPPORT_VALUE,parameter_delta_l2,parameter_changed_exactly,prediction_map_RMS_delta,prediction_map_max_delta,prediction_map_changed_exactly,validation_uncertainty_change,validation_uncertainty_changed_exactly,MODEL_VALUE,best_J_change,best_trajectory_changed,predicted_local_rank_1_before,predicted_local_rank_1_after,predicted_local_ranking_changed,predicted_global_rank_1_before,predicted_global_rank_1_after,predicted_global_ranking_changed,newly_enabled_exploit_candidates,newly_enabled_exploit_trajectory_ids,exploit_eligibility_changed,DECISION_VALUE,support_is_decision_value,zero_model_and_decision_value_explore,prototype_action,automatic_stop_triggered,truth_landscape_used_for_scoring,formal_policy_modified
hip_stiff__matched_linear,hip_stiff,matched_linear,10,asym_h+1.250_k+0.000_p+0.00000,0.419934400524,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-5.000_p+0.01000,asym_h+0.000_k-5.000_p+0.01000,False,asym_h+1.250_k-5.000_p+0.03000,asym_h+1.250_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,11,asym_h+1.500_k+0.000_p+0.00000,0.387926374753,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-5.000_p+0.01000,asym_h+0.000_k-5.000_p+0.01000,False,asym_h+1.250_k-5.000_p+0.03000,asym_h+1.250_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,12,asym_h+1.750_k+0.000_p+0.00000,0.360561521162,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-5.000_p+0.01000,asym_h+0.000_k-5.000_p+0.01000,False,asym_h+1.250_k-5.000_p+0.03000,asym_h+1.250_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,13,asym_h+2.000_k+0.000_p+0.00000,0.336890230122,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-5.000_p+0.01000,asym_h+0.000_k-5.000_p+0.01000,False,asym_h+1.250_k-5.000_p+0.03000,asym_h+1.250_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077175,4450,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,2,asym_h+0.500_k+0.000_p+0.00000,1.31547778803,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,asym_h+0.750_k+0.000_p+0.00000,1.02569758574,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,4,asym_h+1.000_k+0.000_p+0.00000,0.844550356014,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,5,asym_h+1.250_k+0.000_p+0.00000,0.719639008175,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,6,asym_h+1.500_k+0.000_p+0.00000,0.627903553845,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,7,asym_h+1.750_k+0.000_p+0.00000,0.557494372698,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,8,asym_h+2.000_k+0.000_p+0.00000,0.501656455078,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.03000,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077191,4450,True,0,False,0,0,False,0,False,False,0,False,asym_h+0.000_k-1.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,1,asym_h+0.000_k-1.000_p+0.00000,True,True,False,False,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,7,asym_h+0.500_k+0.000_p+0.00000,0.560015947538,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,8,asym_h+0.750_k+0.000_p+0.00000,0.503674225538,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,9,asym_h+1.000_k+0.000_p+0.00000,0.457895984579,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,10,asym_h+1.250_k+0.000_p+0.00000,0.419934400543,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,11,asym_h+1.500_k+0.000_p+0.00000,0.387926374763,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,12,asym_h+1.750_k+0.000_p+0.00000,0.36056152123,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,13,asym_h+2.000_k+0.000_p+0.00000,0.336890230175,550,True,0,False,0,0,False,0,False,False,0,False,asym_h+1.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,False,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.00250,False,0,nan,False,False,False,True,SHADOW_SCORE_ONLY_NO_AUTOMATIC_STOP,False,False,False
