subject_i,subject_j,oracle_candidate_i,oracle_candidate_j,absolute_beta_flex_difference,absolute_beta_extend_difference,normalized_2d_beta_distance,beta_flex_grid_step_difference,beta_extend_grid_step_difference,classification
MYOLEG_VP_002,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_002,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_005,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_006,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_007,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_009,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_010,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_003,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_006,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_007,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_009,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_010,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_005,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_007,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_009,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_010,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_006,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_009,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_010,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_007,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_010,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_009,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_011,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_026,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_027,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_029,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_030,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_010,MYOLEG_VP_031,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_013,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_014,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_015,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_017,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_018,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_019,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_021,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_022,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_023,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
MYOLEG_VP_011,MYOLEG_VP_025,MYOLEG_V3_K0600,MYOLEG_V3_K0600,0.0,0.0,0.0,0,0,EXACT_SAME_ORACLE
