subject_id,epsilon_j,near_oracle_candidate_count,near_oracle_fraction,beta_flex_min,beta_flex_max,beta_flex_range,beta_extend_min,beta_extend_max,beta_extend_range,normalized_beta_bbox_diagonal,bounding_box_grid_candidate_count,bounding_box_grid_fraction
MYOLEG_VP_021,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_022,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_023,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_025,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_026,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_027,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_029,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_030,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_031,0.0005,5,0.008,0.025,0.03,0.0049999999999999975,-0.03,-0.0275,0.0024999999999999988,0.06588078458684121,6,0.0096
MYOLEG_VP_001,0.001,13,0.0208,0.02,0.03,0.009999999999999998,-0.03,-0.0225,0.0075,0.1473139127471974,20,0.032
MYOLEG_VP_002,0.001,16,0.0256,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_003,0.001,15,0.024,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_005,0.001,16,0.0256,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_006,0.001,15,0.024,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_007,0.001,16,0.0256,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_009,0.001,15,0.024,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_010,0.001,16,0.0256,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_011,0.001,15,0.024,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_013,0.001,16,0.0256,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_014,0.001,15,0.024,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
MYOLEG_VP_015,0.001,14,0.0224,0.0175,0.03,0.012499999999999997,-0.03,-0.0225,0.0075,0.17179606773406916,24,0.0384
