case_id,subject_id,scenario_name,policy_id,policy_role,guard_id,direct_decision_id,bundle_decision_id,bundle_percentile,bundle_axis_stratified,stopping_rule_id,stopping_k,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_bundle_authorized_trials,number_of_executed_false_improvements,number_of_harmful_bundle_steps,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,initial_supported_point_count,final_supported_point_count,known_region_growth,low_decision_value_exploration_count,stop_reason,trial_budget,whole_map_recomputation_count,truth_calls_including_reference_normalization,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,support_used_as_decision_value,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,NO_BUNDLE,NONE,False,S0_CURRENT_CONTINUATION,,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,R1_G0_BUNDLE_SCALE_P95_S0,PRIMARY_BUNDLE_EFFECT,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,False,S0_CURRENT_CONTINUATION,,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,R2_G0_BUNDLE_SCALE_P95_S2,PRIMARY_MINIMAL_NEXT_REVISION,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,False,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,R3_G0_BUNDLE_SCALE_P99_S2,P99_SENSITIVITY,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P99,False,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,SCALE_AXIS_SENSITIVITY,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,True,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,NO_BUNDLE,NONE,False,S0_CURRENT_CONTINUATION,,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,R1_G0_BUNDLE_SCALE_P95_S0,PRIMARY_BUNDLE_EFFECT,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,False,S0_CURRENT_CONTINUATION,,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,R2_G0_BUNDLE_SCALE_P95_S2,PRIMARY_MINIMAL_NEXT_REVISION,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,False,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,R3_G0_BUNDLE_SCALE_P99_S2,P99_SENSITIVITY,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P99,False,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,SCALE_AXIS_SENSITIVITY,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,P95,True,S2_DECISION_VALUE_K2,2,RESEARCH_ONLY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,1,1,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,G0_CURRENT_GLOBAL_MAX,D0_CURRENT_P2_V1_ONE_STEP,NO_BUNDLE,NONE,False,S0_CURRENT_CONTINUATION,,RESEARCH_ONLY,5,5,0,0,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,0,-5,0,13750,13750,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,6,6,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
